"Number of header lines:";"35";
"Experiment";"280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN";
"System Independent Variable";
"Trial name";"Trial     2";
"Trial ID";"1";
"Arena name";"E7";
"Arena ID";"51";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"Arena Settings 3";
"Detection settings";"Detection Settings 1";
"Trial Control settings";"Default";
"Start time";"28/03/2023 13:00:00,0";
"Trial duration";"+ 20:41:23.6";
"Recording after";"+ 00:00:00.0";
"Recording duration";"+ 20:41:23.6";
"Track";"Track filet0001a0051o0000_0001.trk";
"Tracking source";"";
"Video file";"Z:\ADHD\Lphn 3.1\Methylphenidate\280323\280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN_plate2.mpg";
"Video start time";"29/03/2023 09:36:22.0";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"External";
"Sync status";"Not available";
"Reference duration";"+ 20:41:23.6";
"Reference time";"29/03/2023 09:36:22.0";
"Sof file";"";
"Missed samples";"2.3 %";
"Subject not found";"2.5 %";
"User-defined Independent Variable";
"Treatment";"";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"Movement(Moving / center-point)";"Movement(Not Moving / center-point)";"All";
"s";"s";"mm";"mm";"mm?";"mm?";"";"mm";"mm/s";"";"";"";
0.000;0.000;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
0.200;0.200;-17.6184;3.18316;0.197279;"-";0.5;"-";"-";"-";"-";1;
0.400;0.400;-17.2729;3.01043;0.246599;0.246599;0.545894;0.386235;1.93117;"-";"-";1;
0.600;0.600;-17.2113;2.99809;0.197279;0.0493199;1.06581e-013;0.0629108;0.314554;"-";"-";1;
0.800;0.800;-17.2113;2.99809;0.197279;0;1.06581e-013;0;0;0;1;1;
1.000;1.000;-17.2113;2.99809;0.197279;0;1.06581e-013;0;0;0;1;1;
1.200;1.200;-17.2236;3.05978;0.246599;0.0493199;0.545894;0.0629108;0.314554;0;1;1;
1.400;1.400;"-";"-";"-";"-";"-";"-";"-";0;1;1;
1.600;1.600;"-";"-";"-";"-";"-";"-";"-";0;1;1;
1.800;1.800;"-";"-";"-";"-";"-";"-";"-";0;1;1;
2.000;2.000;-16.0638;2.88705;0.197279;"-";0.5;"-";"-";0;1;1;
2.200;2.200;-16.0194;2.69458;0.295919;0.197279;0.304124;0.197528;0.987642;0;1;1;
2.400;2.400;-15.9898;2.66497;0.246599;0.0493199;1.06581e-013;0.0418759;0.20938;0;1;1;
2.600;2.600;-15.9898;2.66497;0.246599;0;1.06581e-013;0;0;0;1;1;
2.800;2.800;-15.9898;2.66497;0.246599;0;1.06581e-013;0;0;0;1;1;
3.000;3.000;-15.2125;2.10977;0.394559;0.641158;0.8;0.955205;4.77603;0;1;1;
3.200;3.200;-15.0521;1.90002;0.295919;0.295919;0.545894;0.264041;1.3202;0;1;1;
3.400;3.400;-15.0521;1.90002;0.295919;0;0.545894;0;0;0;1;1;
3.600;3.600;-15.0521;1.90002;0.295919;0;0.545894;0;0;0;1;1;
3.800;3.800;-15.1607;1.89509;0.345239;0.0493199;0.755676;0.108685;0.543425;0;1;1;
4.000;4.000;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
4.200;4.200;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
4.400;4.400;-15.0521;1.90002;0.295919;0.0493199;0.545894;0.108685;0.543425;0;1;1;
4.600;4.600;-15.0521;1.90002;0.295919;0;0.545894;0;0;0;1;1;
4.800;4.800;-15.0521;1.90002;0.295919;0;0.545894;0;0;0;1;1;
5.000;5.000;-15.1607;1.89509;0.345239;0.0493199;0.755676;0.108685;0.543425;0;1;1;
5.200;5.200;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
5.400;5.400;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
5.600;5.600;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
5.800;5.800;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
6.000;6.000;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
6.200;6.200;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
6.400;6.400;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
6.600;6.600;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
6.800;6.800;-15.0521;1.90002;0.295919;0.0493199;0.545894;0.108685;0.543425;0;1;1;
7.000;7.000;-15.0521;1.90002;0.295919;0;0.545894;0;0;0;1;1;
7.200;7.200;-15.0521;1.90002;0.295919;0;0.545894;0;0;0;1;1;
7.400;7.400;-15.1438;1.94585;0.443879;0.14796;0.388757;0.10247;0.512352;0;1;1;
7.600;7.600;"-";"-";"-";"-";"-";"-";"-";0;1;1;
7.800;7.800;-15.1438;1.94585;0.443879;0;0.388757;"-";"-";0;1;1;
8.000;8.000;-15.1607;1.89509;0.345239;0.0986397;0.755676;0.0535071;0.267536;0;1;1;
8.200;8.200;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
8.400;8.400;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
8.600;8.600;-15.1015;1.88769;0.295919;0.0493199;0.6;0.0596824;0.298412;0;1;1;
8.800;8.800;-15.1015;1.88769;0.295919;0;0.6;0;0;0;1;1;
9.000;9.000;-15.1015;1.88769;0.295919;0;0.6;0;0;0;1;1;
9.200;9.200;-15.1607;1.89509;0.345239;0.0493199;0.755676;0.0596824;0.298412;0;1;1;
9.400;9.400;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
9.600;9.600;-15.1607;1.89509;0.345239;0;0.755676;0;0;0;1;1;
9.800;9.800;-15.0521;1.77665;0.345239;0.197279;0.097561;0.160676;0.803381;0;1;1;
10.000;10.000;-15.0521;1.77665;0.345239;0;0.097561;0;0;0;1;1;
10.200;10.200;-15.0521;1.77665;0.345239;0;0.097561;0;0;0;1;1;
10.400;10.400;-15.0521;1.77665;0.443879;0.0986397;0.097561;0;0;0;1;1;
10.600;10.600;-15.0521;1.77665;0.443879;0;0.097561;0;0;0;1;1;
10.800;10.800;-15.0521;1.77665;0.443879;0;0.097561;0;0;0;1;1;
11.000;11.000;"-";"-";"-";"-";"-";"-";"-";0;1;1;
11.200;11.200;-15.0719;1.80626;0.394559;0.0493199;0.304124;"-";"-";0;1;1;
11.400;11.400;-15.0719;1.80626;0.394559;0;0.304124;0;0;0;1;1;
11.600;11.600;-15.0719;1.80626;0.394559;0;0.304124;0;0;0;1;1;
11.800;11.800;-15.1607;1.88028;0.394559;0.0986397;0.755676;0.115634;0.578169;0;1;1;
12.000;12.000;-15.1607;1.88028;0.394559;0;0.755676;0;0;0;1;1;
12.200;12.200;-15.1607;1.88028;0.394559;0;0.755676;0;0;0;1;1;
12.400;12.400;-15.12;1.80441;0.493199;0.0986397;0.372898;0.086111;0.430555;0;1;1;
12.600;12.600;-14.8001;-0.830159;0.641158;1.13436;0.159154;2.65392;13.2696;0;1;1;
12.800;12.800;-14.8001;-0.830159;0.641158;0;0.159154;0;0;0;1;1;
13.000;13.000;-14.8054;-0.890791;1.233;0.591838;0.755932;0.0608617;0.304308;0;1;1;
13.200;13.200;-14.8054;-0.890791;1.233;0;0.755932;0;0;0;1;1;
13.400;13.400;-14.8054;-0.890791;1.233;0;0.755932;0;0;0;1;1;
13.600;13.600;-14.8265;-0.930624;1.13436;0.197279;0.748502;0.0451005;0.225503;0;1;1;
13.800;13.800;-14.8191;-0.959608;1.08504;0.0493199;0.710427;0.0299242;0.149621;0;1;1;
14.000;14.000;-14.8265;-0.930624;1.18368;0.0986397;0.748502;0.0299242;0.149621;0;1;1;
14.200;14.200;-14.8111;-0.899712;1.08504;0.197279;0.78683;0.034561;0.172805;0;1;1;
14.400;14.400;-14.8111;-0.899712;1.08504;0;0.78683;0;0;0;1;1;
14.600;14.600;-15.3709;-1.49534;1.08504;1.77551;0.613576;0.817455;4.08728;0;1;1;
14.800;14.800;-15.7218;-2.3127;1.18368;1.4796;0.740005;0.889473;4.44737;0;1;1;
15.000;15.000;-15.6444;-2.25165;1.03572;0.14796;0.797839;0.0986037;0.493019;0;1;1;
15.200;15.200;-15.6444;-2.25165;1.03572;0;0.797839;0;0;0;1;1;
15.400;15.400;-15.7862;-2.42703;1.18368;0.345239;0.614585;0.225582;1.12791;0;1;1;
