"Number of header lines:";"35";
"Experiment";"280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN";
"System Independent Variable";
"Trial name";"Trial     1";
"Trial ID";"0";
"Arena name";"D3";
"Arena ID";"20";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"Arena Settings 1";
"Detection settings";"Detection Settings 1";
"Trial Control settings";"Default";
"Start time";"28/03/2023 13:00:00,0";
"Trial duration";"+ 20:41:23.4";
"Recording after";"+ 00:00:00.0";
"Recording duration";"+ 20:41:23.4";
"Track";"Track filet0000a0020o0000_0001.trk";
"Tracking source";"";
"Video file";"Z:\ADHD\Lphn 3.1\Methylphenidate\280323\280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN_plate1.mpg";
"Video start time";"29/03/2023 09:41:30.0";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"External";
"Sync status";"Not available";
"Reference duration";"+ 20:41:23.4";
"Reference time";"29/03/2023 09:41:30.0";
"Sof file";"";
"Missed samples";"2.1 %";
"Subject not found";"2.6 %";
"User-defined Independent Variable";
"Treatment";"";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"Movement(Moving / center-point)";"Movement(Not Moving / center-point)";"All";
"s";"s";"mm";"mm";"mm?";"mm?";"";"mm";"mm/s";"";"";"";
0.000;0.000;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
0.200;0.200;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
0.400;0.400;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
0.600;0.600;-0.418432;40.3787;0.276991;"-";0.545894;"-";"-";"-";"-";1;
0.800;0.800;-0.418432;40.3787;0.276991;0;0.545894;0;0;0;1;1;
1.000;1.000;-0.418432;40.3787;0.276991;0;0.545894;0;0;0;1;1;
1.200;1.200;-0.470736;40.3656;0.332389;0.0553982;0.6;0.0539138;0.269569;0;1;1;
1.400;1.400;-0.470736;40.3656;0.332389;0;0.6;0;0;0;1;1;
1.600;1.600;"-";"-";"-";"-";"-";"-";"-";0;1;1;
1.800;1.800;-0.02802;41.3127;0.720176;"-";0.371463;"-";"-";0;1;1;
2.000;2.000;-0.02802;41.3127;0.720176;0;0.371463;0;0;0;1;1;
2.200;2.200;-0.02802;41.3127;0.720176;0;0.371463;0;0;0;1;1;
2.400;2.400;-0.0285295;41.1466;0.60938;0.221593;0.263316;0.166083;0.830415;0;1;1;
2.600;2.600;-0.0285295;41.1466;0.60938;0;0.263316;0;0;0;1;1;
2.800;2.800;-0.0285295;41.1466;0.60938;0;0.263316;0;0;0;1;1;
3.000;3.000;"-";"-";"-";"-";"-";"-";"-";0;1;1;
3.200;3.200;0.0735525;41.1061;0.775574;0.166194;0.284335;"-";"-";0;1;1;
3.400;3.400;0.0735525;41.1061;0.775574;0;0.284335;0;0;0;1;1;
3.600;3.600;0.0735525;41.1061;0.775574;0;0.284335;0;0;0;1;1;
3.800;3.800;0.0993777;41.09;0.720176;0.0553982;0.135665;0.0303894;0.151947;0;1;1;
4.000;4.000;0.0993777;41.09;0.720176;0;0.135665;0;0;0;1;1;
4.200;4.200;0.0993777;41.09;0.720176;0;0.135665;0;0;0;1;1;
4.400;4.400;0.00980701;40.6598;1.21876;0.720176;0.825746;0.439426;2.19713;0;1;1;
4.600;4.600;0.00980701;40.6598;1.21876;0;0.825746;0;0;0;1;1;
4.800;4.800;"-";"-";"-";"-";"-";"-";"-";0;1;1;
5.000;5.000;-0.368402;41.7284;1.05256;1.93894;0.278284;"-";"-";0;1;1;
5.200;5.200;-0.368402;41.7284;1.05256;0;0.278284;0;0;0;1;1;
5.400;5.400;-0.368402;41.7284;1.05256;0;0.278284;0;0;0;1;1;
5.600;5.600;-0.318728;41.5719;0.88637;0.387787;0.459055;0.164181;0.820904;0;1;1;
5.800;5.800;-0.318728;41.5719;0.88637;0;0.459055;0;0;0;1;1;
6.000;6.000;-0.318728;41.5719;0.88637;0;0.459055;0;0;0;1;1;
6.200;6.200;-0.153643;41.4771;1.05256;0.60938;0.169837;0.190368;0.951842;0;1;1;
6.400;6.400;-0.153643;41.4771;1.05256;0;0.169837;0;0;0;1;1;
6.600;6.600;-0.153643;41.4771;1.05256;0;0.169837;0;0;0;1;1;
6.800;6.800;-0.107877;41.379;1.05256;0.221593;0.452387;0.108223;0.541116;0;1;1;
7.000;7.000;-0.107877;41.379;1.05256;0;0.452387;0;0;0;1;1;
7.200;7.200;-0.107877;41.379;1.05256;0;0.452387;0;0;0;1;1;
7.400;7.400;-0.106146;41.3233;0.830972;0.221593;0.636201;0.0557922;0.278961;0;1;1;
7.600;7.600;-0.106146;41.3233;0.830972;0;0.636201;0;0;0;1;1;
7.800;7.800;-0.291408;41.7834;0.553982;0.60938;0.60543;0.496079;2.4804;0;1;1;
8.000;8.000;-0.38305;41.7525;0.830972;0.387787;0.147593;0.096739;0.483695;0;1;1;
8.200;8.200;-0.38305;41.7525;0.830972;0;0.147593;0;0;0;1;1;
8.400;8.400;-0.38305;41.7525;0.830972;0;0.147593;0;0;0;1;1;
8.600;8.600;"-";"-";"-";"-";"-";"-";"-";0;1;1;
8.800;8.800;-0.228546;41.7181;0.997167;0.387787;0.060846;"-";"-";0;1;1;
9.000;9.000;-0.245175;41.7092;1.05256;0.0553982;0.0227671;0.0188868;0.0944339;0;1;1;
9.200;9.200;-0.576481;41.8785;1.05256;0.88637;0.288476;0.372047;1.86023;0;1;1;
9.400;9.400;-0.576481;41.8785;1.05256;0;0.288476;0;0;0;1;1;
9.600;9.600;-0.576481;41.8785;1.05256;0;0.288476;0;0;0;1;1;
9.800;9.800;-0.544834;41.8258;0.830972;0.221593;0.228255;0.061458;0.30729;0;1;1;
10.000;10.000;-0.509964;41.8171;0.775574;0.0553982;0.393967;0.0359425;0.179713;0;1;1;
10.200;10.200;-0.470736;41.8395;0.720176;0.0553982;0.54876;0.0451809;0.225905;0;1;1;
10.400;10.400;-0.438641;41.8955;0.997167;0.276991;0.334628;0.0645803;0.322902;0;1;1;
10.600;10.600;-0.941472;42.0132;0.775574;1.10796;0.244311;0.51642;2.5821;0;1;1;
10.800;10.800;-0.948295;41.8205;1.05256;0.387787;0.530595;0.19285;0.964248;0;1;1;
11.000;11.000;-0.825494;41.9058;1.05256;0.332389;0.35211;0.149507;0.747536;0;1;1;
11.200;11.200;-0.235368;42.0132;0.221593;1.27416;"-";0.599828;2.99914;0;1;1;
11.400;11.400;-0.486427;41.362;0.60938;0.387787;0.685531;0.697906;3.48953;0;1;1;
11.600;11.600;-0.427942;41.5032;0.664778;0.387787;0.516284;0.152852;0.764262;0;1;1;
11.800;11.800;-0.427942;41.5032;0.664778;0;0.516284;0;0;0;1;1;
12.000;12.000;-0.427942;41.5032;0.664778;0;0.516284;0;0;0;1;1;
12.200;12.200;-0.313824;41.1894;0.221593;0.443185;0.5;0.333929;1.66964;0;1;1;
12.400;12.400;-0.313824;41.1894;0.221593;0;0.5;0;0;0;1;1;
12.600;12.600;-0.313824;41.1894;0.221593;0;0.5;0;0;0;1;1;
12.800;12.800;-0.313824;41.1894;0.221593;0;0.5;0;0;0;1;1;
13.000;13.000;"-";"-";"-";"-";"-";"-";"-";0;1;1;
13.200;13.200;"-";"-";"-";"-";"-";"-";"-";0;1;1;
13.400;13.400;"-";"-";"-";"-";"-";"-";"-";0;1;1;
13.600;13.600;-0.849171;40.1926;0.88637;"-";0.879557;"-";"-";0;1;1;
13.800;13.800;-0.849171;40.1926;0.88637;0;0.879557;0;0;0;1;1;
14.000;14.000;-0.849171;40.1926;0.88637;0;0.879557;0;0;0;1;1;
14.200;14.200;-0.81309;40.0447;1.05256;0.498583;0.765896;0.15223;0.761148;0;1;1;
14.400;14.400;-0.81309;40.0447;1.05256;0;0.765896;0;0;0;1;1;
14.600;14.600;-0.836864;40.0425;0.997167;0.0553982;0.783722;0.0238768;0.119384;0;1;1;
14.800;14.800;-0.714822;40.1128;0.88637;0.221593;0.665864;0.140873;0.704364;0;1;1;
15.000;15.000;-0.714822;40.1128;0.88637;0;0.665864;0;0;0;1;1;
15.200;15.200;-0.714822;40.1128;0.88637;0;0.665864;0;0;0;1;1;
15.400;15.400;-0.913782;39.6941;1.55115;0.997167;0.867132;0.463557;2.31779;0;1;1;
15.600;15.600;-0.913782;39.6941;1.55115;0;0.867132;0;0;0;1;1;
15.800;15.800;-0.913782;39.6941;1.55115;0;0.867132;0;0;0;1;1;
